Playername,Age, hey, whatever, gth
Walter Acevedo,28,1.74,2010-,2012,1,0
Oscar Ahumada,31,1.70,2012-,2013,1,0
Marcos Angeleri,31,1.80,2009-,2011.5,4,0
Cristian Ansaldi,27,1.81,2009-,2011.5,3,0
Omar Asad,43,1.77,1995,2004.5,2,0
Hern&#xE1;n Barcos,30,1.89,2012-,2013,4,0
Sebasti&#xE1;n Battaglia,33,1.78,2003-2009,2006,10,0
Fernando Belluschi,30,1.75,2005-,2009.5,5,0
Cristian Campestrini,34,1.82,2009-,2011.5,2,0
H&#xE9;ctor Canteros,25,1.76,2011-,2012.5,2,0
Ignacio Canuto,28,1.88,2009-,2011.5,3,1
Jes&#xFA;s D&#xE1;tolo,30,1.77,2009-,2011.5,3,2
Germ&#xE1;n Denis,32,1.84,2007-,2010.5,5,0
Leandro Des&#xE1;bato,35,1.86,2011-,2012.5,5,0
Gonzalo Rub&#xE9;n Bergessio,30,1.78,2008-,2011,3,2
Hern&#xE1;n Bernardello,28,1.74,2009,2011.5,1,0
Claudio Biaggio,47,1.77,1995,2004.5,1,0
Carlos Bianchi,65,1.78,1970-1972,1971,14,7
Daniel Bilos,33,1.94,2005-2006,2005.5,3,1
Sebasti&#xE1;n Blanco,26,1.66,2009-,2011.5,2,1
David Bisconti,45,1.78,1991,2002.5,5,1
Jonathan Bottinelli,29,1.79,2007-,2010.5,1,0
Mauro Boselli,29,1.82,2009-,2011.5,4,1
Rodrigo Bra&#xF1;a,35,1.67,2009-,2011.5,9,0
Guillermo Burdisso,25,1.87,2010-,2012,1,1
Neri Cardozo,28,1.72,2007,2010.5,1,0
C&#xE9;sar Carignano,31,1.89,2003,2008.5,3,0
Luis Alberto Carranza,42,1.72,1994,2004,9,1
Mat&#xED;as Caruzzo,29,1.83,2008-,2011,5,0
Lucas Castrom&#xE1;n,33,1.74,2000-2005,2002.5,5,0
Fernando Cavenaghi,30,1.80,2008-,2011,4,0
Christian Cellay,32,1.70,2011-,2012.5,2,0
Francisco Cerro,26,1.79,2012-,2013,1,0
Cristian Manuel Ch&#xE1;vez,28,1.68,2010-,2012,4,1
Tino Costa,29,1.76,2011-,2012.5,2,0
Franco Costanzo,33,1.88,2003,2008.5,1,0
Jonathan Cristaldo,25,1.75,2011-,2012.5,1,0
H&#xE9;ctor C&#xFA;per,58,1.79,1984,1999,3,0
Walter Acevedo,28,1.74,2010-,2012,1,0
Oscar Ahumada,31,1.70,2012-,2013,1,0
Cristian Ansaldi,27,1.81,2009-,2011.5,3,0
Marcos Angeleri,31,1.80,2009-,2011.5,4,0
Omar Asad,43,1.77,1995,2004.5,2,0
Hern&#xE1;n Barcos,30,1.89,2012-,2013,4,0
Sebasti&#xE1;n Battaglia,33,1.78,2003-2009,2006,10,0
Fernando Belluschi,30,1.75,2005-,2009.5,5,0
Cristian Campestrini,34,1.82,2009-,2011.5,2,0
H&#xE9;ctor Canteros,25,1.76,2011-,2012.5,2,0
Ignacio Canuto,28,1.88,2009-,2011.5,3,1
Jes&#xFA;s D&#xE1;tolo,30,1.77,2009-,2011.5,3,2
Germ&#xE1;n Denis,32,1.84,2007-,2010.5,5,0
Leandro Des&#xE1;bato,35,1.86,2011-,2012.5,5,0
Gonzalo Rub&#xE9;n Bergessio,30,1.78,2008-,2011,3,2
Hern&#xE1;n Bernardello,28,1.74,2009,2011.5,1,0
Claudio Biaggio,47,1.77,1995,2004.5,1,0
Daniel Bilos,33,1.94,2005-2006,2005.5,3,1
Carlos Bianchi,65,1.78,1970-1972,1971,14,7
David Bisconti,45,1.78,1991,2002.5,5,1
Sebasti&#xE1;n Blanco,26,1.66,2009-,2011.5,2,1
Mauro Boselli,29,1.82,2009-,2011.5,4,1
Rodrigo Bra&#xF1;a,35,1.67,2009-,2011.5,9,0
Jonathan Bottinelli,29,1.79,2007-,2010.5,1,0
Guillermo Burdisso,25,1.87,2010-,2012,1,1
Neri Cardozo,28,1.72,2007,2010.5,1,0
C&#xE9;sar Carignano,31,1.89,2003,2008.5,3,0
Luis Alberto Carranza,42,1.72,1994,2004,9,1
Mat&#xED;as Caruzzo,29,1.83,2008-,2011,5,0
Lucas Castrom&#xE1;n,33,1.74,2000-2005,2002.5,5,0
Christian Cellay,32,1.70,2011-,2012.5,2,0
Fernando Cavenaghi,30,1.80,2008-,2011,4,0
Francisco Cerro,26,1.79,2012-,2013,1,0
Cristian Manuel Ch&#xE1;vez,28,1.68,2010-,2012,4,1
Tino Costa,29,1.76,2011-,2012.5,2,0
Franco Costanzo,33,1.88,2003,2008.5,1,0
Jonathan Cristaldo,25,1.75,2011-,2012.5,1,0
H&#xE9;ctor C&#xFA;per,58,1.79,1984,1999,3,0
Sebasti&#xE1;n M&#xE9;ndez,37,1.77,1999,2006.5,2,0
Carlos Matheu,29,1.83,2010,2012,1,0
Gabriel Mercado,27,1.82,2010-,2012,1,0
Juan Ignacio Mercier,34,1.85,2010-,2012,3,0
Roberto Molina (footballer),42,1.76,1996,2005,1,0
Daniel Montenegro,35,1.72,2007-2009,2008,3,0
Walter Montillo,30,1.71,2011-,2012.5,6,0
Luciano Fabi&#xE1;n Monz&#xF3;n,27,1.79,2009-,2011.5,7,0
Hugo Morales,40,1.74,1995-1996,1995.5,9,2
Guillermo Morigi,40,1.75,1996,2005,1,0
Mateo Musacchio,23,1.82,2011-,2012.5,2,0
Nicol&#xE1;s Olmedo,31,1.83,2010,2012,1,0
Lucas Orb&#xE1;n,25,1.86,2013-,2013.5,1,0
Franco Razzotti,29,1.80,2010,2012,1,0
Sebasti&#xE1;n Saja,35,1.88,2002-2003,2002.5,4,0
Julio Salda&#xF1;a,46,1.78,1992-1993,1992.5,3,0
Eduardo Salvio,24,1.71,2009-,2011.5,5,0
Jos&#xE9; Sand,34,1.83,2008-,2011,2,0
Jorge San Esteban,42,1.77,1999,2006.5,1,0
Rolando Schiavi,41,1.91,2009,2011.5,4,0
Ignacio Scocco,29,1.72,2012-,2013,1,2
Dar&#xED;o Scotto,44,1.75,1992,2003,1,0
Fernando Pandolfi,40,1.82,1999,2006.5,2,0
Emiliano Papa,32,1.71,2008-,2011,8,0
Mariano Pavone,32,1.77,2007,2010.5,1,0
Gino Peruzzi,22,1.78,2012-,2013,4,0
Diego Perotti,26,1.79,2009-,2011.5,2,0
Pablo Piatti,25,1.63,2011-,2012.5,1,0
Osvaldo Piazza,67,1.83,1972-1977,1974.5,15,0
Javier Pinola,31,1.82,2007,2010.5,1,0
Iv&#xE1;n Pillud,28,1.78,2011-,2012.5,5,0
Leonardo Ponzio,32,1.78,2003-,2008.5,8,0
Mart&#xED;n Posse,39,1.70,1997,2005.5,3,0
Sebasti&#xE1;n Prediger,27,1.84,2009,2011.5,1,0
Fabi&#xE1;n Rinaudo,27,1.76,2009-,2011.5,4,0
Leandro Romagnoli,33,1.72,2003,2008.5,1,0
Bernardo Romeo,36,1.74,2000-2003,2001.5,4,1
Sebasti&#xE1;n Ariel Romero,36,1.73,2005,2009.5,1,0
Mart&#xED;n Romagnoli,36,1.70,2005,2009.5,1,0
Facundo Roncaglia,27,1.79,2013-,2013.5,1,0
Marco Ruben,27,1.79,2011-,2012.5,1,1
Walter Acevedo,28,1.74,2010-,2012,1,0
Oscar Ahumada,31,1.70,2012-,2013,1,0
Marcos Angeleri,31,1.80,2009-,2011.5,4,0
Cristian Ansaldi,27,1.81,2009-,2011.5,3,0
Omar Asad,43,1.77,1995,2004.5,2,0
Hern&#xE1;n Barcos,30,1.89,2012-,2013,4,0
Sebasti&#xE1;n Battaglia,33,1.78,2003-2009,2006,10,0
Fernando Belluschi,30,1.75,2005-,2009.5,5,0
Cristian Campestrini,34,1.82,2009-,2011.5,2,0
H&#xE9;ctor Canteros,25,1.76,2011-,2012.5,2,0
Ignacio Canuto,28,1.88,2009-,2011.5,3,1
Jes&#xFA;s D&#xE1;tolo,30,1.77,2009-,2011.5,3,2
Germ&#xE1;n Denis,32,1.84,2007-,2010.5,5,0
Leandro Des&#xE1;bato,35,1.86,2011-,2012.5,5,0
Gonzalo Rub&#xE9;n Bergessio,30,1.78,2008-,2011,3,2
Claudio Biaggio,47,1.77,1995,2004.5,1,0
Hern&#xE1;n Bernardello,28,1.74,2009,2011.5,1,0
Daniel Bilos,33,1.94,2005-2006,2005.5,3,1
David Bisconti,45,1.78,1991,2002.5,5,1
Sebasti&#xE1;n Blanco,26,1.66,2009-,2011.5,2,1
Carlos Bianchi,65,1.78,1970-1972,1971,14,7
Jonathan Bottinelli,29,1.79,2007-,2010.5,1,0
Mauro Boselli,29,1.82,2009-,2011.5,4,1
Rodrigo Bra&#xF1;a,35,1.67,2009-,2011.5,9,0
Guillermo Burdisso,25,1.87,2010-,2012,1,1
Neri Cardozo,28,1.72,2007,2010.5,1,0
C&#xE9;sar Carignano,31,1.89,2003,2008.5,3,0
Luis Alberto Carranza,42,1.72,1994,2004,9,1
Mat&#xED;as Caruzzo,29,1.83,2008-,2011,5,0
Lucas Castrom&#xE1;n,33,1.74,2000-2005,2002.5,5,0
Fernando Cavenaghi,30,1.80,2008-,2011,4,0
Christian Cellay,32,1.70,2011-,2012.5,2,0
Cristian Manuel Ch&#xE1;vez,28,1.68,2010-,2012,4,1
Francisco Cerro,26,1.79,2012-,2013,1,0
Tino Costa,29,1.76,2011-,2012.5,2,0
Franco Costanzo,33,1.88,2003,2008.5,1,0
Jonathan Cristaldo,25,1.75,2011-,2012.5,1,0
H&#xE9;ctor C&#xFA;per,58,1.79,1984,1999,3,0
Carlos Matheu,29,1.83,2010,2012,1,0
Sebasti&#xE1;n M&#xE9;ndez,37,1.77,1999,2006.5,2,0
Juan Ignacio Mercier,34,1.85,2010-,2012,3,0
Gabriel Mercado,27,1.82,2010-,2012,1,0
Roberto Molina (footballer),42,1.76,1996,2005,1,0
Daniel Montenegro,35,1.72,2007-2009,2008,3,0
Walter Montillo,30,1.71,2011-,2012.5,6,0
Luciano Fabi&#xE1;n Monz&#xF3;n,27,1.79,2009-,2011.5,7,0
Hugo Morales,40,1.74,1995-1996,1995.5,9,2
Guillermo Morigi,40,1.75,1996,2005,1,0
Mateo Musacchio,23,1.82,2011-,2012.5,2,0
Nicol&#xE1;s Olmedo,31,1.83,2010,2012,1,0
Lucas Orb&#xE1;n,25,1.86,2013-,2013.5,1,0
Franco Razzotti,29,1.80,2010,2012,1,0
Sebasti&#xE1;n Saja,35,1.88,2002-2003,2002.5,4,0
Julio Salda&#xF1;a,46,1.78,1992-1993,1992.5,3,0
Eduardo Salvio,24,1.71,2009-,2011.5,5,0
Jorge San Esteban,42,1.77,1999,2006.5,1,0
Jos&#xE9; Sand,34,1.83,2008-,2011,2,0
Rolando Schiavi,41,1.91,2009,2011.5,4,0
Ignacio Scocco,29,1.72,2012-,2013,1,2
Dar&#xED;o Scotto,44,1.75,1992,2003,1,0
Fernando Pandolfi,40,1.82,1999,2006.5,2,0
Emiliano Papa,32,1.71,2008-,2011,8,0
Mariano Pavone,32,1.77,2007,2010.5,1,0
Gino Peruzzi,22,1.78,2012-,2013,4,0
Diego Perotti,26,1.79,2009-,2011.5,2,0
Pablo Piatti,25,1.63,2011-,2012.5,1,0
Iv&#xE1;n Pillud,28,1.78,2011-,2012.5,5,0
Osvaldo Piazza,67,1.83,1972-1977,1974.5,15,0
Javier Pinola,31,1.82,2007,2010.5,1,0
Mart&#xED;n Posse,39,1.70,1997,2005.5,3,0
Leonardo Ponzio,32,1.78,2003-,2008.5,8,0
Sebasti&#xE1;n Prediger,27,1.84,2009,2011.5,1,0
Fabi&#xE1;n Rinaudo,27,1.76,2009-,2011.5,4,0
Leandro Romagnoli,33,1.72,2003,2008.5,1,0
Sebasti&#xE1;n Ariel Romero,36,1.73,2005,2009.5,1,0
Bernardo Romeo,36,1.74,2000-2003,2001.5,4,1
Mart&#xED;n Romagnoli,36,1.70,2005,2009.5,1,0
Facundo Roncaglia,27,1.79,2013-,2013.5,1,0
Marco Ruben,27,1.79,2011-,2012.5,1,1
Leandro Somoza,33,1.85,2006-,2010,3,0
Jos&#xE9; Sosa,29,1.83,2005-,2009.5,19,1
Santiago Solari,37,1.85,1999-2004,2001.5,11,0
Leonel Vangioni,27,1.81,2009-,2011.5,3,0
Diego Valeri,28,1.77,2011-,2012.5,3,0
Juli&#xE1;n Vel&#xE1;zquez,23,1.84,2011-,2012.5,1,0
Santiago Vergini,26,1.91,2012-,2013,1,0
Franco Zuculini,23,1.75,2009,2011.5,1,0
Rolando Z&#xE1;rate,36,1.80,2005,2009.5,2,1
Patricio Toranzo,32,1.78,2010,2012,2,0
Roberto Trotta,45,1.86,1995,2004.5,3,0
Eduardo Tuzzio,40,1.83,2005-2007,2006,2,0
Cristian Villagra,28,1.72,2010-,2012,1,0
Oscar Ahumada,31,1.70,2012-,2013,1,0
Walter Acevedo,28,1.74,2010-,2012,1,0
Marcos Angeleri,31,1.80,2009-,2011.5,4,0
Cristian Ansaldi,27,1.81,2009-,2011.5,3,0
Omar Asad,43,1.77,1995,2004.5,2,0
Sebasti&#xE1;n Battaglia,33,1.78,2003-2009,2006,10,0
Hern&#xE1;n Barcos,30,1.89,2012-,2013,4,0
Fernando Belluschi,30,1.75,2005-,2009.5,5,0
Cristian Campestrini,34,1.82,2009-,2011.5,2,0
Ignacio Canuto,28,1.88,2009-,2011.5,3,1
H&#xE9;ctor Canteros,25,1.76,2011-,2012.5,2,0
Jes&#xFA;s D&#xE1;tolo,30,1.77,2009-,2011.5,3,2
Germ&#xE1;n Denis,32,1.84,2007-,2010.5,5,0
Leandro Des&#xE1;bato,35,1.86,2011-,2012.5,5,0
Gonzalo Rub&#xE9;n Bergessio,30,1.78,2008-,2011,3,2
Hern&#xE1;n Bernardello,28,1.74,2009,2011.5,1,0
Claudio Biaggio,47,1.77,1995,2004.5,1,0
Carlos Bianchi,65,1.78,1970-1972,1971,14,7
David Bisconti,45,1.78,1991,2002.5,5,1
Sebasti&#xE1;n Blanco,26,1.66,2009-,2011.5,2,1
Daniel Bilos,33,1.94,2005-2006,2005.5,3,1
Mauro Boselli,29,1.82,2009-,2011.5,4,1
Jonathan Bottinelli,29,1.79,2007-,2010.5,1,0
Rodrigo Bra&#xF1;a,35,1.67,2009-,2011.5,9,0
Guillermo Burdisso,25,1.87,2010-,2012,1,1
Neri Cardozo,28,1.72,2007,2010.5,1,0
C&#xE9;sar Carignano,31,1.89,2003,2008.5,3,0
Luis Alberto Carranza,42,1.72,1994,2004,9,1
Mat&#xED;as Caruzzo,29,1.83,2008-,2011,5,0
Lucas Castrom&#xE1;n,33,1.74,2000-2005,2002.5,5,0
Fernando Cavenaghi,30,1.80,2008-,2011,4,0
Christian Cellay,32,1.70,2011-,2012.5,2,0
Cristian Manuel Ch&#xE1;vez,28,1.68,2010-,2012,4,1
Francisco Cerro,26,1.79,2012-,2013,1,0
Franco Costanzo,33,1.88,2003,2008.5,1,0
Tino Costa,29,1.76,2011-,2012.5,2,0
Jonathan Cristaldo,25,1.75,2011-,2012.5,1,0
Carlos Matheu,29,1.83,2010,2012,1,0
H&#xE9;ctor C&#xFA;per,58,1.79,1984,1999,3,0
Sebasti&#xE1;n M&#xE9;ndez,37,1.77,1999,2006.5,2,0
Gabriel Mercado,27,1.82,2010-,2012,1,0
Juan Ignacio Mercier,34,1.85,2010-,2012,3,0
Roberto Molina (footballer),42,1.76,1996,2005,1,0
Daniel Montenegro,35,1.72,2007-2009,2008,3,0
Luciano Fabi&#xE1;n Monz&#xF3;n,27,1.79,2009-,2011.5,7,0
Hugo Morales,40,1.74,1995-1996,1995.5,9,2
Guillermo Morigi,40,1.75,1996,2005,1,0
Walter Montillo,30,1.71,2011-,2012.5,6,0
Mateo Musacchio,23,1.82,2011-,2012.5,2,0
Nicol&#xE1;s Olmedo,31,1.83,2010,2012,1,0
Lucas Orb&#xE1;n,25,1.86,2013-,2013.5,1,0
Franco Razzotti,29,1.80,2010,2012,1,0
Julio Salda&#xF1;a,46,1.78,1992-1993,1992.5,3,0
Sebasti&#xE1;n Saja,35,1.88,2002-2003,2002.5,4,0
Eduardo Salvio,24,1.71,2009-,2011.5,5,0
Jos&#xE9; Sand,34,1.83,2008-,2011,2,0
Jorge San Esteban,42,1.77,1999,2006.5,1,0
Rolando Schiavi,41,1.91,2009,2011.5,4,0
Dar&#xED;o Scotto,44,1.75,1992,2003,1,0
Ignacio Scocco,29,1.72,2012-,2013,1,2
Fernando Pandolfi,40,1.82,1999,2006.5,2,0
Emiliano Papa,32,1.71,2008-,2011,8,0
Mariano Pavone,32,1.77,2007,2010.5,1,0
Gino Peruzzi,22,1.78,2012-,2013,4,0
Diego Perotti,26,1.79,2009-,2011.5,2,0
Iv&#xE1;n Pillud,28,1.78,2011-,2012.5,5,0
Pablo Piatti,25,1.63,2011-,2012.5,1,0
Osvaldo Piazza,67,1.83,1972-1977,1974.5,15,0
Javier Pinola,31,1.82,2007,2010.5,1,0
Leonardo Ponzio,32,1.78,2003-,2008.5,8,0
Mart&#xED;n Posse,39,1.70,1997,2005.5,3,0
Sebasti&#xE1;n Prediger,27,1.84,2009,2011.5,1,0
Fabi&#xE1;n Rinaudo,27,1.76,2009-,2011.5,4,0
Leandro Romagnoli,33,1.72,2003,2008.5,1,0
Mart&#xED;n Romagnoli,36,1.70,2005,2009.5,1,0
Bernardo Romeo,36,1.74,2000-2003,2001.5,4,1
Sebasti&#xE1;n Ariel Romero,36,1.73,2005,2009.5,1,0
Facundo Roncaglia,27,1.79,2013-,2013.5,1,0
Marco Ruben,27,1.79,2011-,2012.5,1,1
Santiago Solari,37,1.85,1999-2004,2001.5,11,0
Leandro Somoza,33,1.85,2006-,2010,3,0
Jos&#xE9; Sosa,29,1.83,2005-,2009.5,19,1
Leonel Vangioni,27,1.81,2009-,2011.5,3,0
Diego Valeri,28,1.77,2011-,2012.5,3,0
Juli&#xE1;n Vel&#xE1;zquez,23,1.84,2011-,2012.5,1,0
Santiago Vergini,26,1.91,2012-,2013,1,0
Rolando Z&#xE1;rate,36,1.80,2005,2009.5,2,1
Patricio Toranzo,32,1.78,2010,2012,2,0
Eduardo Tuzzio,40,1.83,2005-2007,2006,2,0
Roberto Trotta,45,1.86,1995,2004.5,3,0
Cristian Villagra,28,1.72,2010-,2012,1,0
Franco Zuculini,23,1.75,2009,2011.5,1,0
Gast&#xF3;n D&#xED;az,26,1.75,2011-,2012.5,1,0
Federico Dom&#xED;nguez,38,180&,2003,2008.5,1,0
Sebasti&#xE1;n Dom&#xED;nguez,34,1.83,2009-,2011.5,8,0
Mariano Echeverr&#xED;a,33,1.90,2010,2012,1,0
Aldo Duscher,35,1.74,2005,2009.5,3,0
Walter Erviti,34,1.69,2010-,2012,1,0
Juan Esn&#xE1;ider,41,1.80,1995-1999,1997,3,0
Ernesto Far&#xED;as,34,1.77,2005,2009.5,1,0
Federico Fazio,27,1.95,2011-,2012.5,2,0
Juan Ram&#xF3;n Fern&#xE1;ndez,34,1.73,1999,2006.5,1,0
Alexis Ferrero,35,1.82,2009-,2011.5,1,0
Jos&#xE9; Luis Fern&#xE1;ndez,26,1.68,2010-,2012,1,0
Victor Ferreyra,50,1.82,1991,2002.5,2,1
Mauro Formica,26,1.76,2011,2012.5,1,0
Jos&#xE9; Oscar Flores,43,1.82,1994,2004,2,0
Fabricio Fuentes,37,1.85,2005,2009.5,1,0
Rogelio Funes Mori,23,1.85,2012-,2013,1,0
Gabriel Hauche,27,1.67,2009-,2011.5,5,3
Esteban Fuertes,41,1.85,2009,2011.5,1,0
Adri&#xE1;n Gabbarini,28,1.82,2010-,2012,3,0
Nelson Ib&#xE1;&#xF1;ez,32,1.85,2010,2012,1,0
Ariel Ibagaza,37,1.66,2004-2005,2004.5,2,0
Emiliano Ins&#xFA;a,25,1.79,2009-,2011.5,4,0
Mauro Icardi,21,1.81,2013-,2013.5,1,0
Federico Ins&#xFA;a,34,1.79,2003-2010,2006.5,14,0
Franco Jara,26,1.79,2010-,2012,4,1
&#xC9;rik Lamela,22,1.83,2011-,2012.5,6,0
C&#xE9;sar-Auguste Laraign&#xE9;e,65,1.82,1970,1992,?,?
Pablo Ledesma,30,1.75,2007-,2010.5,4,0
Cristian Ra&#xFA;l Ledesma,35,1.78,2007-2008,2007.5,4,0
Lisandro Ezequiel L&#xF3;pez,24,1.87,2011-,2012.5,4,0
Lisandro L&#xF3;pez,31,1.74,2005-2009,2007,7,1
Jonathan Maidana,29,1.83,2011-,2012.5,2,0
Carlos Mac Allister,46,1.75,1993,2003.5,3,0
Agust&#xED;n Marches&#xED;n,26,1.88,2010-,2012,1,0
Juan Manuel Mart&#xED;nez,28,1.73,2011-,2012.5,4,1
Fernando Galetto,43,1.87,1995,2004.5,1,0
Leonel Galeano,23,1.83,2010-,2012,1,0
Javier Hern&#xE1;n Garc&#xED;a,27,1.80,2011-,2012.5,1,0
Paolo Goltz,29,1.84,2010-,2012,1,0
Emanuel Gigliotti,27,1.83,2011-,2012.5,1,0
Pablo Gui&#xF1;az&#xFA;,35,1.72,2003-,2008.5,16,0
